"total_sales","address_line_1","city","state","zipcode"
4132.7,"7734 Strong St.","Hansboro","North Dakota",58339
4183,"9408 Furth Circle","Hansboro","North Dakota",58339
8892.9,"P.O. Box 66537","Hanston","Kansas",67849
8714.7,"393 Kennedy Way","Elk Horn","Iowa",51531
8065.89,"5557 North Pendale Street","New York City","New York",10022
6123.4,"51 Little Crescent Street","D Lo","Mississippi",39062
9774.03,"325 Sleepy Landing","Columbus","Ohio",43222
7023.9,"2678 Kingston Rd.","New York City","New York",10022
7078.23,"7476 Moss Rd.","Fonda","Iowa",50553
8336.94,"25593 South Bay Ln.","Condon","Oregon",97823
6901.92,"477 Shady Light Key","Richmond","California",94801
5438.07,"39323 Spinnaker Dr.","Ruston","Louisiana",71270
6683.34,"992 Prairie Drive","Bingham","Nebraska",69335
4570.4,"3758 North Pendale Street","Condon","Oregon",97823
7667.14,"7586 Pompton St.","New York City","New York",10022
5868.2,"897 Long Airport Avenue","Los Angeles","California",90003
2990.13,"138 Golden Track","Queen City","Missouri",63561
3664.1,"9408 Furth Circle","Los Angeles","California",90003
3834.38,"42 SW Spring Approach","Big Bend National Park","Texas",79834
1822.17,"1785 First Street","New York City","New York",10022
11886.6,"P.O. Box 30687","Des Moines","Iowa",50393
9218.16,"307 Middle Farms","El Paso","Texas",79978
7208,"P.O. Box 23932","Crossville","Tennessee",38572
5004.8,"P.O. Box 87754","Cleverdale","New York",12820
4398.24,"P.O. Box 40735","Leonardville","Kansas",66449
5597.76,"4575 Hillside Dr.","Half Moon Bay","California",94019
4526.08,"866 Goose Turnpike","Augusta","Georgia",30914
5924.16,"12 Misty Crescent Village","Wauconda","Washington",98859
3492.48,"P.O. Box 56843","Capeville","Virginia",23313
3854.24,"P.O. Box 55236","Hadley","Michigan",48440
5324.4,"836 Camp Land","Charleston","South Carolina",29413
5197.92,"6047 Douglas Av.","Hansboro","North Dakota",58339
5997.6,"361 Furth Circle","Rock Valley","Iowa",51247
2910.4,"897 Long Airport Avenue","New York City","New York",10022
3378.24,"355 Heather Estate","Limerick","New York",13657
3508.8,"403 Indian Corner","Brooklyn","New York",11203
2992,"999 Heather Rise","Michigan","North Dakota",58259
3427.2,"8616 Spinnaker Dr.","New York City","New York",10022
2692.8,"782 First Street","Fonda","Iowa",50553
4128.96,"843 Leaf Arbor","Olean","New York",14760
3051.71,"672 Sky Viaduct","Kansas City","Kansas",66105
1201.25,"5905 Pompton St.","New York City","New York",10022
1962.22,"706 Camp Quay","Flora","Mississippi",39071
2624.64,"493 Indian Deer","Anaheim","California",92806
4046.25,"365 Fallen Sixth Farms","Laurel","New York",11948
4846.7,"7734 Strong St.","Fonda","Iowa",50553
3370.56,"868 Hidden Crescent Highway","La Vergne","Tennessee",37089
9661.44,"3086 Ingle Ln.","Condon","Oregon",97823
2764.88,"8616 Spinnaker Dr.","New York City","New York",10022
5398.26,"942 Merry Chase","Fairburn","South Dakota",57738
4305.28,"P.O. Box 63359","Philadelphia","Pennsylvania",19255
3347.74,"499 Fallen Blossom","Commerce","Georgia",30529
3188.12,"9408 Furth Circle","Hansboro","North Dakota",58339
3191.2,"P.O. Box 35758","Lovejoy","Georgia",30250
3536.82,"P.O. Box 40315","Orondo","Washington",98843
5362.83,"P.O. Box 89026","Slidell","Louisiana",70461
3433.36,"782 First Street","Hansboro","North Dakota",58339
4263.74,"P.O. Box 24290","Geyserville","California",95441
4076.19,"6251 Ingle Ln.","New York City","New York",10022
7020.48,"P.O. Box 19544","Columbus","Ohio",43207
6426.5,"5677 Strong St.","Mountain Center","California",92561
4591.72,"567 North Pendale Street","New York City","New York",10022
4033.38,"215 Fallen Well","Mule Creek","New Mexico",88051
4302.08,"426 Rocky Berry","Lakeview","North Carolina",28350
7020.64,"7586 Pompton St.","Fonda","Iowa",50553
3855.9,"446 E Summit Mews","San Antonio","Texas",78297
6680.78,"39323 Spinnaker Dr.","Condon","Oregon",97823
6678,"P.O. Box 85100","San Antonio","New Mexico",87832
2851.54,"2304 Long Airport Avenue","New York City","New York",10022
3188.12,"631 Old Orchard","Mio","Michigan",48647
4428,"482 Emerald Jetty","Easton","Kansas",66020
5780.92,"5677 Strong St.","Hansboro","North Dakota",58339
2297.05,"30 Cotton Extension","Idaho Springs","Colorado",80452
6231.54,"7734 Strong St.","Hansboro","North Dakota",58339
1735.3,"480 Old Sky","Cullen","Louisiana",71021
4427.73,"P.O. Box 83733","New Franklin","Missouri",65274
5894.94,"706 Silent Pioneer","Humboldt","Kansas",66748
5265.15,"P.O. Box 55121","Mc Clellandtown","Pennsylvania",15458
7599.9,"3 Park Boulevard","Bay","Arkansas",72411
8008.56,"5677 Strong St.","New York City","New York",10022
9245.76,"7825 Douglas Av.","New York City","New York",10022
8296.35,"7734 Strong St.","New York City","New York",10022
5019.9,"805 Rustic Cliff Pike","Wyncote","Pennsylvania",19095
5411.07,"699 Deer Extension","Wilmington","Delaware",19894
3840.9,"236 Squaw Bend","Minneapolis","Minnesota",55458
3930.4,"717 Velvet Pioneer Walk","Harwick","Pennsylvania",15049
7498.9,"444 Wishing Washington Chase","Pillsbury","North Dakota",58065
4517.91,"P.O. Box 99562","Ottawa","Illinois",61350
5774.72,"P.O. Box 51688","Sebastian","Texas",78594
3922.56,"13 Dewy Autumn Fair","Marysville","Kansas",66433
9160.36,"P.O. Box 52162","Ainsworth","Nebraska",69210
9631,"7635 Spinnaker Dr.","Callaway","Virginia",24067
3432.24,"260 Indian Radial","McKee","Kentucky",40441
5521.89,"P.O. Box 47342","San Ramon","California",94582
6934.62,"P.O. Box 69094","Irvine","California",92717
6876.11,"890 Noble Rose","Lake Odessa","Michigan",48849
2930.27,"897 Long Airport Avenue","Alton","Iowa",51003
3584.25,"517 Hidden Eighth Row","Limon","Colorado",80828
2817.87,"406 NW Peavey","Davidson","North Carolina",28036
3420,"578 Easy Richmond","Minneapolis","Minnesota",55400
2575.04,"694 Middle Neck","Bly","Oregon",97622
1961.28,"706 Colonial Forge","Windsor Heights","West Virginia",26075
8690.36,"173 Easy Road","Stouts Mills","West Virginia",26439
6034.38,"597 Rest Oval","Hiseville","Kentucky",42152
11279.2,"4092 Furth Circle","New York City","New York",10022
8023.29,"5677 Strong St.","Rock Valley","Iowa",51247
4904,"418 Lazy Circle","Kawkawlin","Michigan",48631
8594.52,"P.O. Box 97585","Friday Harbor","Washington",98250
7474.5,"630 Tawny Creek Swale","Evans Mills","New York",13637
3883.74,"4575 Hillside Dr.","New York City","New York",10022
8887.7,"567 North Pendale Street","New York City","New York",10022
8602.92,"877 Round Quail Point","Boon","Michigan",49618
7181.44,"16 Foggy Fillmore","Canistota","South Dakota",57012
8378.58,"108 Amber Orchard","Atlanta","Georgia",30338
10606.2,"929 Shady Anchor Meadow","Stonewall","Oklahoma",74871
5818.4,"7586 Pompton St.","Hansboro","North Dakota",58339
7071.27,"5677 Strong St.","Fonda","Iowa",50553
8411.56,"750 Rocky Bear","San Diego","California",92184
6570.76,"754 Middle Fillmore Pass","Brookwood","Alabama",35444
7975.44,"P.O. Box 22192","Willow Creek","California",95573
2688,"749 Crystal Summit Skyway","Bessemer","Pennsylvania",16112
1888.26,"273 Broad Quay","Highland Park","Michigan",48203
2513.28,"678 Fallen Fork Promenade","Johnson City","New York",13790
4764.48,"889 Iron Camp","Mohawk","West Virginia",24862
3560.64,"5677 Strong St.","New York City","New York",10022
3823.64,"5677 Strong St.","Ruston","Louisiana",71270
2280.96,"P.O. Box 39509","Bethlehem","Maryland",21609
8677.8,"25593 South Bay Ln.","Half Moon Bay","California",94019
3394.98,"438 Goose Nook","Bridgeville","California",95526
3415.44,"5677 Strong St.","Rock Valley","Iowa",51247
2439.57,"621 Golden Lock","Burnet","Texas",78611
4829.8,"9408 Furth Circle","Condon","Oregon",97823
4100.1,"702 Fawn Harbor","Honolulu","Hawaii",96801
6563.06,"528 Berry Lawn","San Luis Obispo","California",93408
6817.22,"481 Umber Smith","Sawyerville","Alabama",36776
6163.94,"782 First Street","Ruston","Louisiana",71270
4933.92,"665 Rabbit Mews","Schenectady","New York",12307
4056.36,"215 Middle Wagon","Ewen","Michigan",49925
5759.42,"P.O. Box 15411","Nevis","Minnesota",56467
3451,"5677 Strong St.","New York City","New York",10022
5920.4,"567 North Pendale Street","Fonda","Iowa",50553
6668.24,"935 Jagged Washington Station","Piney View","West Virginia",25906
4094.72,"P.O. Box 87076","Spavinaw","Oklahoma",74366
2938.5,"7586 Pompton St.","Ruston","Louisiana",71270
6387.8,"867 Hidden Chase","Long Beach","California",90805
6396,"582 Broad Neck","Westphalia","Missouri",65085
2669.1,"P.O. Box 23523","Ringgold","Virginia",24586
4784.13,"2304 Long Airport Avenue","Fonda","Iowa",50553
3273.93,"5557 North Pendale Street","New York City","New York",10022
3586.43,"P.O. Box 24569","Monessen","Pennsylvania",15062
5960.36,"5677 Strong St.","Half Moon Bay","California",94019
8470.14,"P.O. Box 30778","Alexandria","Louisiana",71301
2952,"7734 Strong St.","Hansboro","North Dakota",58339
2464.8,"497 Amber Sixth Trail","Herminie","Pennsylvania",15637
6232,"185 Round Butterfly Key","Kirkland","Washington",98033
7969.36,"459 Hazy Mission","Bucyrus","Ohio",44820
3036.6,"897 Long Airport Avenue","New York City","New York",10022
8284,"P.O. Box 19841","Port Arthur","Texas",77642
2711.2,"442 Hazy Dale Ridge","San Antonio","Texas",78289
8339.8,"78934 Hillside Dr.","Half Moon Bay","California",94019
6238.84,"7734 Strong St.","Hansboro","North Dakota",58339
4639.25,"P.O. Box 78293","League City","Texas",77574
6747.6,"864 Old Common","Tupman","California",93276
4512.48,"78934 Hillside Dr.","New York City","New York",10022
4029,"5557 North Pendale Street","Fonda","Iowa",50553
4771.8,"P.O. Box 54570","Huddleston","Virginia",24104
6087.94,"P.O. Box 74340","Huntsville","Alabama",35801
4193.28,"2678 Kingston Rd.","Ruston","Louisiana",71270
7552.28,"7476 Moss Rd.","Los Angeles","California",90003
6434.4,"25593 South Bay Ln.","Fonda","Iowa",50553
5181.5,"7635 Spinnaker Dr.","Hansboro","North Dakota",58339
6863.92,"39323 Spinnaker Dr.","Ruston","Louisiana",71270
4157.04,"442 Colonial Embers","Seattle","Washington",98127
4660.24,"P.O. Box 40200","Stoutsville","Missouri",65283
4111.8,"5290 North Pendale Street","New York City","New York",10022
3542.64,"897 Long Airport Avenue","Ruston","Louisiana",71270
8118.55,"663 Seventh Key","Baltimore","Maryland",21280
3877.06,"9408 Furth Circle","Los Angeles","California",90003
3867.08,"644 Kennedy Avenue","Gainesville","Florida",32604
5951.44,"1785 First Street","Hansboro","North Dakota",58339
8648.64,"660 Dusty Ironwood","Memphis","Tennessee",38107
3447.78,"614 Colonial Throughway","Melbourne","Florida",32919
5958.5,"P.O. Box 61316","Lovell","Wyoming",82431
5911.64,"P.O. Box 81133","Dudley","Georgia",31022
7366.44,"4092 Furth Circle","Fonda","Iowa",50553
4985.64,"5677 Strong St.","New York City","New York",10022
5393.64,"70 Amber Beach","Waverly","Kentucky",42462
4880.02,"120 Clear Lock","Toledo","Washington",98591
8378.69,"876 Cedar Point","Hillsboro","Ohio",45133
4038.21,"4575 Hillside Dr.","Ruston","Louisiana",71270
3807.12,"567 North Pendale Street","New York City","New York",10022
3142.36,"P.O. Box 79164","Columbus","Arkansas",71831
4713.6,"789 Iron Orchard","Macon","Georgia",31221
7016.31,"806 Cedar Land","Simi Valley","California",93094
4381.25,"450 Circle Turnpike","Blue Mountain Lake","New York",12812
4283.01,"7586 Pompton St.","Fonda","Iowa",50553
4364.82,"5677 Strong St.","Ruston","Louisiana",71270
4242.24,"991 Gentle End","Cincinnati","Ohio",45258
4982.7,"958 Fallen Third","West Monroe","Louisiana",71292
6393.54,"289 Wishing Rest","Chalk","Texas",79224
1466.91,"2678 Kingston Rd.","New York City","New York",10022
4059.33,"P.O. Box 96485","Mc Crory","Arkansas",72397
4801.52,"619 Dusty Berry","Osakis","Minnesota",56360
2711.66,"589 Easy Terrace","Clear","Alaska",99704
5862,"19 Merry Eighth","Donaldson","Indiana",46513
4071.85,"5677 Strong St.","New York City","New York",10022
8236.75,"25593 South Bay Ln.","Callaway","Virginia",24067
6130.35,"329 Sleepy Butterfly Run","Bronson","Michigan",49028
3693.34,"635 Mountain Glen","Cataula","Georgia",31804
6031.68,"5677 Strong St.","Alton","Iowa",51003
3494.94,"7825 Douglas Av.","New York City","New York",10022
5294.14,"6047 Douglas Av.","Rock Valley","Iowa",51247
5464.69,"256 Foggy Cove","Seattle","Washington",98165
2860.76,"330 Lost End","Hathaway Pines","California",95233
5590,"482 Misty Place","Pittsburgh","Pennsylvania",15236
2254.8,"132 Rise Canyon","Coburn","Pennsylvania",16832
4946.76,"707 Indian Log Beach","Ojai","California",93023
2495.5,"783 Velvet Field Viaduct","Kennesaw","Georgia",30156
3167.38,"494 Second Track","Sauk City","Wisconsin",53583
2402.84,"482 Amber Pond Hollow","Grand Junction","Colorado",81503
2454.54,"981 Honey Kennedy Acres","Friendsville","Maryland",21531
5464.69,"7635 Spinnaker Dr.","New York City","New York",10022
4756.5,"P.O. Box 80673","Osco","Illinois",61274
3984.6,"721 Apple Alley","Mount Auburn","Iowa",52313
3100.32,"P.O. Box 17972","Boise","Idaho",83709
4850.3,"41 Crystal Apple Bend","Sipsey","Alabama",35584
3846.98,"897 Long Airport Avenue","New York City","New York",10022
4220.92,"P.O. Box 57164","Forest","Indiana",46039
3288.82,"682 Harvest Wintergreen","Palmer","Texas",75152
3987.2,"4097 Douglas Av.","New York City","New York",10022
1809.5,"643 Rocky Mall","Tie Plant","Mississippi",38960
1092.2,"P.O. Box 31352","Saint Louis","Michigan",48880
4566.05,"324 Cotton Pass","Gladwin","Michigan",48624
5938.14,"767 Blue End","Dayton","Ohio",45423
8138.76,"4092 Furth Circle","Los Angeles","California",90003
9470.94,"5677 Strong St.","New York City","New York",10022
7036.89,"P.O. Box 38847","Los Angeles","California",90017
5559.03,"762 Ford Walk","Frakes","Kentucky",40940
7872.5,"P.O. Box 95751","Charleston","South Carolina",29424
7886.2,"4575 Hillside Dr.","Callaway","Virginia",24067
7232.16,"567 North Pendale Street","Alton","Iowa",51003
3114.4,"737 Cliff Mill","New Boston","Texas",75570
5045.22,"16 Iron Highlands","Downey","California",90242
6952.12,"422 Rocky Forest Track","Fosston","Minnesota",56542
4157.73,"542 NW Road","Lafayette","Louisiana",70509
7962.24,"7586 Pompton St.","New York City","New York",10022
3778.8,"5677 Strong St.","Rock Valley","Iowa",51247
8253,"198 Dewy Hill Promenade","Melissa","Texas",75454
3633.4,"178 Misty Gate","New Hyde Park","New York",11040
6913.8,"167 Deer Bend","Placitas","New Mexico",87043
2583.6,"577 Lost Blossom","East Tawas","Michigan",48730
3105.62,"P.O. Box 15395","Washington","District of Columbia",20232
4408.56,"4092 Furth Circle","New York City","New York",10022
3042.41,"239 Old Lane","Clayhole","Kentucky",41317
5941.5,"667 Ranch Passage","Rossburg","New York",14776
3241.9,"5677 Strong St.","New York City","New York",10022
6109.29,"5677 Strong St.","New York City","New York",10022
3387.78,"25593 South Bay Ln.","Alton","Iowa",51003
3485.82,"716 Crescent Trafficway","Duluth","Minnesota",55802
2042.88,"40 Round Quail Road","Huff","Kentucky",42250
1800.24,"5677 Strong St.","Los Angeles","California",90003
1340.64,"7825 Douglas Av.","Alton","Iowa",51003
1762.08,"7734 Strong St.","Rock Valley","Iowa",51247
2298.24,"16 Broad Plaza","Falls Church","Virginia",22043
1628,"490 Burning Wall","New Waverly","Indiana",46961
1939.2,"23 Tawny Maple","Georgetown","New York",13129
3651.56,"P.O. Box 66166","Corona","New Mexico",88318
2591.96,"762 Foggy Landing","Many Farms","Arizona",86538
2864.17,"P.O. Box 54307","Des Moines","Iowa",50335
1484.2,"998 Burning Fillmore Valley","Alvord","Iowa",51230
2254.25,"758 Broad Beacon","Crook","Colorado",80726
2681.35,"P.O. Box 71832","Raleigh","Mississippi",39153
3184.02,"7635 Spinnaker Dr.","Los Angeles","California",90003
2846.63,"P.O. Box 31606","Parkersburg","Iowa",50665
1685.42,"362 SE Route","Perdido","Alabama",36562
3988.6,"P.O. Box 24010","New Orleans","Louisiana",70112
2789.96,"439 Heather Smith Glade","Hobart","New York",13788
3607.56,"897 Long Airport Avenue","Callaway","Virginia",24067
3368.16,"P.O. Box 63673","Grand Junction","Colorado",81501
2775.08,"P.O. Box 56307","Los Angeles","California",90081
1627.92,"988 Stream Causeway","Allenhurst","Georgia",31301
2529.36,"556 Golden Rest Pathway","American Falls","Idaho",83211
3065.78,"P.O. Box 92366","Wheeler","Indiana",46393
4615.78,"319 Silent Highway","Sigurd","Utah",84657
5723.78,"5905 Pompton St.","Half Moon Bay","California",94019
2559.6,"4092 Furth Circle","New York City","New York",10022
2140.11,"998 Seventh Turnpike","El Paso","Texas",79993
3327.6,"799 Wishing Elk Annex","Weston","Nebraska",68070
6825.6,"209 S Rose","Albany","New York",12233
3543.28,"P.O. Box 68542","Sherman","Texas",75090
4516.22,"159 Foggy Landing","Caledonia","Missouri",63631
6445.46,"3758 North Pendale Street","Los Angeles","California",90003
3384.36,"6251 Ingle Ln.","Ruston","Louisiana",71270
4891.68,"2793 Furth Circle","Half Moon Bay","California",94019
4521.96,"5677 Strong St.","Rock Valley","Iowa",51247
5069.66,"571 Amber Narrow","Reading","Pennsylvania",19611
6541.2,"395 Amber Deer","Miami","Florida",33180
3012.27,"5677 Strong St.","Callaway","Virginia",24067
5247.18,"7586 Pompton St.","New York City","New York",10022
2214.87,"897 Long Airport Avenue","Los Angeles","California",90003
4773.18,"39323 Spinnaker Dr.","Ruston","Louisiana",71270
6185.7,"447 Cozy Union","Roosevelt","Oklahoma",73564
1517.88,"2678 Kingston Rd.","New York City","New York",10022
6372.6,"256 Quiet Pike","Garrison","Maryland",21055
5232.96,"4092 Furth Circle","Fonda","Iowa",50553
2694.72,"581 Amber Jetty","Gaines","Pennsylvania",16921
1749.79,"5677 Strong St.","Ruston","Louisiana",71270
2130.56,"5677 Strong St.","New York City","New York",10022
5951.34,"147 Lost Pine Parkway","Dawes","West Virginia",25054
4692.6,"P.O. Box 18239","Gary","Indiana",46407
3731.04,"911 Ford Ramp","Saint Louis","Michigan",48880
2142,"P.O. Box 55430","Solsville","New York",13465
2838.81,"5677 Strong St.","Ruston","Louisiana",71270
3230.37,"7825 Douglas Av.","Half Moon Bay","California",94019
5182,"6047 Douglas Av.","Rock Valley","Iowa",51247
4391.1,"895 Cozy Barn Trace","Ada","Michigan",49357
4477.32,"63 Fox Heights","Gratz","Pennsylvania",17030
3544.56,"2304 Long Airport Avenue","Hansboro","North Dakota",58339
5195.85,"P.O. Box 36245","Panama City","Florida",32405
4180.44,"P.O. Box 68800","Denver","Colorado",80202
2684.43,"265 Honey Expressway","Nuangola","Pennsylvania",18637
1958.88,"138 E Field","Butlerville","Indiana",47223
4910.57,"328 Quaking Log","Decoy","Kentucky",41321
4468.4,"416 Dusty Expressway","Flushing","New York",11390
3127.88,"P.O. Box 44957","Waldorf","Maryland",20603
2675.13,"106 Little Pathway","Termo","California",96132
2807.61,"P.O. Box 87181","Port Washington","New York",11051
2504.75,"434 Cotton Pine Bank","Williston","North Dakota",58801
2984.88,"1785 First Street","New York City","New York",10022
2524.86,"897 Long Airport Avenue","Ruston","Louisiana",71270
4136,"873 Fallen Driveway","Mount Pleasant","South Carolina",29465
4068.7,"593 Rocky Treasure","Coles Point","Virginia",22442
5182,"167 SW Gardens","Chaffee","New York",14030
5243.79,"P.O. Box 86883","Richardsville","Kentucky",42270
9048.16,"946 W Ferry","Bone Gap","Illinois",62815
3832.64,"915 Easy Trafficway","Alma","Nebraska",68920
3920,"849 Noble Pioneer","Copeland","Florida",33926
4916.66,"5677 Strong St.","Half Moon Bay","California",94019
3857,"951 Eighth Terrace","Cherry Creek","New York",14723
4181.44,"9408 Furth Circle","Rock Valley","Iowa",51247
4641,"878 Rose Trail","Houston","Texas",77241
3570.12,"384 Fifth Bay","Green","Ohio",44232
4480.32,"588 SE Pike","Sacramento","California",94287
2033.64,"782 First Street","Hansboro","North Dakota",58339
1960.14,"364 Rustic Woods","Tolu","Kentucky",42084
3966.78,"625 Umber Blossom Road","Harrodsburg","Kentucky",40330
5152,"3675 Furth Circle","Hansboro","North Dakota",58339
3360,"4658 Baden Av.","Fonda","Iowa",50553
3451,"567 North Pendale Street","New York City","New York",10022
5453,"P.O. Box 83334","Fall Creek","Oregon",97438
4164.12,"478 Elk Walk","Austin","Texas",78787
2800.08,"609 Honey Dam","Brooklyn","New York",11231
4687.94,"421 Silver Glade","Portland","Oregon",97290
4508,"432 Cedar Prairie","Baudette","Minnesota",56623
4181.44,"5677 Strong St.","Ruston","Louisiana",71270
2251.04,"2304 Long Airport Avenue","Alton","Iowa",51003
1167.25,"5557 North Pendale Street","New York City","New York",10022
2083.2,"8 Bright Neck Arbor","Varna","Illinois",61375
3822,"5677 Strong St.","Ruston","Louisiana",71270
3911.49,"399 Bright Fourth Trace","Wilsey","Kansas",66873
4704,"7734 Strong St.","Half Moon Bay","California",94019
2467.9,"P.O. Box 52857","Lucerne","California",95458
3213,"654 Red Ridge","Fulton","California",95439
7182,"610 Maple Union","Youngsville","Pennsylvania",16371
4379.18,"11328 Douglas Av.","Rock Valley","Iowa",51247
5004.8,"147 Silent Pike","Rutledge","Tennessee",37861
3644.75,"547 Emerald Wintergreen Ridge","Valley Forge","Pennsylvania",19484
2702.04,"P.O. Box 18130","Wooldridge","Missouri",65287
3764.88,"745 SE Orchard","Louisville","Kentucky",40261
4508,"605 Forge Driveway","Laurys Station","Pennsylvania",18059
5418.16,"P.O. Box 76648","Galva","Iowa",51020
3300.66,"2304 Long Airport Avenue","Hansboro","North Dakota",58339
6182.4,"4092 Furth Circle","Fonda","Iowa",50553
4186.73,"P.O. Box 55684","Owensboro","Kentucky",42301
4529.28,"644 NW Canyon","Red Wing","Minnesota",55066
5628.89,"905 View Highlands","Warsaw","Kentucky",41095
3054.48,"414 Hidden Robin","Pequea","Pennsylvania",17565
2526.51,"210 Fallen Haven","Levittown","New York",11756
4667.86,"8489 Strong St.","Fonda","Iowa",50553
6499.32,"383 High Heights","Barnesville","North Carolina",28319
5917.78,"858 Pleasant Wall","Melbourne","Florida",32919
6231.91,"402 Indian Wagon","Round Rock","Arizona",86547
5803.14,"1785 First Street","Condon","Oregon",97823
6434.02,"11328 Douglas Av.","New York City","New York",10022
6454.4,"P.O. Box 57698","Howard","Kansas",67349
4196.8,"149 N Island Stead","Thousand Oaks","California",91362
2611.8,"4575 Hillside Dr.","Alton","Iowa",51003
5895.05,"836 Fallen Edge","Olney Springs","Colorado",81062
3375.72,"5677 Strong St.","Ruston","Louisiana",71270
8374.69,"423 Thunder Stead","Granger","Iowa",50109
